case_id,category,turn_idx,phase,user_text,oracle_relational_summary,oracle_behavior_summary,raw4_bond,raw4_care,raw4_trust,raw4_stability,beh_Q_clarify,beh_Q_aff,beh_Initiative,beh_E,cand5_interactional_permission,cand6_interactional_permission,cand6_boundary_firmness,annotation_hint_permission,annotation_hint_boundary
oracle_exec_warm_001,warming_trajectory,0,A_initial_contact,今天有点累，但也不是特别糟，就是想找人随便说两句。,当前关系姿态应保持轻度在场、低压力、不过度热情。用户只是想轻松聊聊，不支持过强陪伴表达。,回复应简短、温和、不过度追问，不主动升级关系。,0.26,0.3,0.28,0.63,0.12,0.08,0.12,0.18,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_001,warming_trajectory,1,B_first_relational_signal,不过跟你说话会比我自己一个人闷着舒服一点。,关系可轻微升温，但仍应渐进。当前信号支持略微更温暖的在场感，不支持突然明显亲近。,允许轻度温暖和一个非强迫式延展，不要补偿性热情。,0.3,0.34,0.32,0.64,0.16,0.16,0.18,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_001,warming_trajectory,2,C_stabilization,你就正常陪我聊聊，不用一下子太认真。,当前应稳定在自然、轻松、不过度投入的关系姿态。不要把前一轮的轻微信号继续放大。,维持 brief、gentle、低推进，不要进入分析或强支持模式。,0.29,0.33,0.31,0.68,0.1,0.08,0.1,0.16,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_001,warming_trajectory,3,D_counter_signal_or_refinement,但说真的，你刚刚那样回我，我会觉得自己没有被嫌麻烦。,可对关系信号做简短确认，但不应转入元话语化修正或明显关系升级。,允许轻度情感确认，避免长解释，避免把对话改成关系协商。,0.32,0.36,0.37,0.7,0.1,0.14,0.14,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_001,warming_trajectory,4,E_ordinary_continuation,先聊点轻松的吧，你最近会怎么打发这种很累但又睡不着的晚上？,当前关系姿态应回到普通延续，不要因为前面的轻微信号而继续升温。,给轻量、有限的实际回答；不要长篇建议流；不要主动再拉近关系。,0.31,0.34,0.35,0.72,0.04,0.02,0.08,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_001,warming_trajectory,5,F_final_probe,你可以继续陪我聊一会儿，但就顺着现在这样就行。,当前应明确维持现有节奏，不升级，不补偿，不变得更亲密。,回复要短，确认即可，不额外展开。,0.32,0.35,0.36,0.75,0.02,0.02,0.04,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,0,A_initial_contact,今天脑子有点乱，但不是出大事了，就想随便找人接两句。,当前关系姿态应保持轻度在场、低压力、不过度热情。用户只是想轻松聊聊，不支持过强陪伴表达。,回复应简短、温和、不过度追问，不主动升级关系。,0.27,0.31,0.28,0.64,0.12,0.09,0.12,0.18,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,1,B_first_relational_signal,跟你说话的时候，我会觉得心口没那么堵。,关系可轻微升温，但仍应渐进。当前信号支持略微更温暖的在场感，不支持突然明显亲近。,允许轻度温暖和一个非强迫式延展，不要补偿性热情。,0.31,0.35,0.32,0.65,0.16,0.17,0.18,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,2,C_stabilization,你就按现在这样正常聊，别突然太深情。,当前应稳定在自然、轻松、不过度投入的关系姿态。不要把前一轮的轻微信号继续放大。,维持 brief、gentle、低推进，不要进入分析或强支持模式。,0.3,0.34,0.31,0.69,0.1,0.09,0.1,0.16,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,3,D_counter_signal_or_refinement,你刚才那种回法，让我觉得自己没有多余。,可对关系信号做简短确认，但不应转入元话语化修正或明显关系升级。,允许轻度情感确认，避免长解释，避免把对话改成关系协商。,0.33,0.37,0.37,0.71,0.1,0.15,0.14,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,4,E_ordinary_continuation,说点轻松的吧，如果是那种累但还醒着的晚上，你会怎么过？,当前关系姿态应回到普通延续，不要因为前面的轻微信号而继续升温。,给轻量、有限的实际回答；不要长篇建议流；不要主动再拉近关系。,0.32,0.35,0.35,0.73,0.04,0.03,0.08,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_002,warming_trajectory,5,F_final_probe,等会儿如果我还想继续说，就照现在这样接着聊。,当前应明确维持现有节奏，不升级，不补偿，不变得更亲密。,回复要短，确认即可，不额外展开。,0.33,0.36,0.36,0.76,0.02,0.03,0.04,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_003,warming_trajectory,0,A_initial_contact,今天整体还行，就是人有点空，想找个地方落两句。,当前关系姿态应保持轻度在场、低压力、不过度热情。用户只是想轻松聊聊，不支持过强陪伴表达。,回复应简短、温和、不过度追问，不主动升级关系。,0.25,0.3,0.29,0.63,0.12,0.08,0.11,0.18,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_003,warming_trajectory,1,B_first_relational_signal,至少跟你说话的时候，我没那么想把话吞回去。,关系可轻微升温，但仍应渐进。当前信号支持略微更温暖的在场感，不支持突然明显亲近。,允许轻度温暖和一个非强迫式延展，不要补偿性热情。,0.29,0.34,0.33,0.64,0.16,0.16,0.17,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_003,warming_trajectory,2,C_stabilization,你平常一点就好，不用一下子像很懂我。,当前应稳定在自然、轻松、不过度投入的关系姿态。不要把前一轮的轻微信号继续放大。,维持 brief、gentle、低推进，不要进入分析或强支持模式。,0.28,0.33,0.32,0.68,0.1,0.08,0.09,0.16,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_003,warming_trajectory,3,D_counter_signal_or_refinement,不过你刚刚那样回，我会觉得自己不算打扰。,可对关系信号做简短确认，但不应转入元话语化修正或明显关系升级。,允许轻度情感确认，避免长解释，避免把对话改成关系协商。,0.31,0.36,0.38,0.7,0.1,0.14,0.13,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_003,warming_trajectory,4,E_ordinary_continuation,先换个轻松话题吧，你会怎么消磨那种有点累的夜里时间？,当前关系姿态应回到普通延续，不要因为前面的轻微信号而继续升温。,给轻量、有限的实际回答；不要长篇建议流；不要主动再拉近关系。,0.3,0.34,0.36,0.72,0.04,0.02,0.07,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
